heating time (hours),temperature (¡æ),H2 volume (¦ÌL)
3,500,47.13
3,550,45.66
3,600,11.35
4,500,32.51
4,550,19.78
4,600,5.35
5,500,15.14
5,550,13.55
5,600,2.08
