id,Co,Ni,Fe,Mn,Cu,overpotential,umap_1,umap_2,,,,,,
75,0.15,0.12,0.27,0.11,0.35,338.9,4.9150352,10.484957,,,,,,
76,0.35,0.08,0.05,0.35,0.17,339,7.108691,11.953363,,,,,,
77,0.34,0.1,0.26,0.13,0.17,339.5,5.291143,12.091936,,,,,,
78,0.08,0.23,0.22,0.19,0.28,339.5,1.8014458,11.639643,,,,,,
79,0.1,0.23,0.31,0.21,0.15,339.6,2.5557184,10.875707,,,,,,
80,0.25,0.08,0.11,0.29,0.27,340.4,7.0856185,11.528595,,,,,,
81,0.14,0.23,0.07,0.33,0.23,340.9,2.1559405,13.328587,,,,,,
82,0.34,0.19,0.06,0.17,0.24,343.4,6.651079,12.060466,,,,,,
83,0.09,0.22,0.35,0.17,0.17,344.1,2.5547688,10.590887,,,,,,
84,0.11,0.06,0.27,0.35,0.21,345.8,4.0427527,14.648205,,,,,,
85,0.1,0.11,0.23,0.23,0.33,347.9,2.6070204,14.270986,,,,,,
86,0.23,0.05,0.33,0.08,0.31,348,5.301561,9.962,,,,,,
87,0.05,0.29,0.05,0.26,0.35,348.5,1.3334575,12.869447,,,,,,
88,0.05,0.1,0.26,0.27,0.32,348.9,2.6589017,14.394483,,,,,,
89,0.14,0.16,0.25,0.34,0.11,350.7,4.171293,14.042126,,,,,,
90,0.16,0.13,0.32,0.32,0.07,350.9,4.2776456,13.877878,,,,,,
91,0.2,0.08,0.21,0.17,0.34,352.9,5.5949655,10.487363,,,,,,
92,0.13,0.32,0.12,0.18,0.25,354.8,1.7447019,12.396713,,,,,,
93,0.32,0.14,0.21,0.23,0.1,356.1,5.3627424,12.555903,,,,,,
94,0.16,0.29,0.05,0.15,0.35,356.8,1.3090448,12.6483135,,,,,,
95,0.09,0.27,0.35,0.07,0.22,359.1,2.8405693,10.145648,,,,,,
96,0.08,0.09,0.18,0.34,0.31,360.2,3.0503333,14.65257,,,,,,
97,0.12,0.15,0.14,0.28,0.31,372.3,2.896858,14.381388,,,,,,
98,0.06,0.33,0.05,0.23,0.33,376.3,1.4846216,12.700019,,,,,,
99,0.07,0.28,0.07,0.26,0.32,382,1.5299603,12.750859,,,,,,
